"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"40.193.220.98",8147,"41.177.241.46",4500,68,10220,51,7450,17,2770,1.318111,211.52178800000002,281.7676635751585,104.76462122190456
"40.193.220.98",7746,"41.177.241.46",4500,51,7298,42,5840,9,1458,2.869513,209.997301,222.47904986169323,55.54357100999122
"40.193.220.98",7592,"41.177.241.46",4500,108,16050,73,10624,35,5426,3.115097,200.56265000000002,423.76783513779856,216.43112513720774
"40.193.220.98",8482,"41.177.241.46",4500,56,8448,40,5572,16,2876,3.496549,197.155924,226.0951590782532,116.69951139789237
"41.106.180.77",43550,"41.177.241.46",443,39,6029,31,5109,8,920,0.260107,210.27799,194.37127014577229,35.001285679019475
"41.106.180.77",30882,"41.177.241.46",443,200,44792,141,31535,59,13257,3.394238,207.36660799999999,1216.5893170225363,511.44203506477766
"41.106.180.77",61602,"41.177.241.46",443,33,5195,26,4382,7,813,13.37424,189.93062400000002,184.57265743516956,34.2440827235949
"41.106.180.77",8005,"41.177.241.46",443,59,14105,41,8371,18,5734,16.974563,190.006628,352.4508629246344,241.42315709113052
"41.177.3.13",5353,"210.218.218.3",5353,2,182,2,182,0,0,155.571007,5.899999999314787e-5,0,0
"41.177.3.20",137,"41.177.3.91",137,72,6912,72,6912,0,0,11.406447,191.24682,289.1342193297645,0
"41.177.3.67",60578,"210.218.218.3",5353,2,272,2,272,0,0,28.173347,0.00026199999999931833,0,0
"41.177.3.67",56972,"210.218.218.3",5353,2,272,2,272,0,0,88.169157,0.0002649999999988495,0,0
"41.177.3.67",52182,"210.218.218.3",5353,2,272,2,272,0,0,148.168984,0.00027700000001118497,0,0
"41.177.3.67",50385,"210.218.218.3",5353,2,272,2,272,0,0,208.163152,0.0002589999999997872,0,0
"41.177.3.77",137,"41.177.3.91",137,12,1152,12,1152,0,0,86.504703,125.560833,73.3986847634246,0
"41.177.3.81",55974,"145.95.81.118",161,2,426,1,199,1,227,1.176086,0.004879000000000078,0,0
"41.177.3.81",55987,"145.95.81.118",161,2,2103,1,968,1,1135,1.845441,0.026555999999999802,291610.18225636607,341918.96369935485
"41.177.3.81",56104,"145.95.81.118",161,2,756,1,356,1,400,5.665402,0.008725000000000094,326418.338108879,366762.1776504259
